iter	Passed	Remaining
401	14347	21342
402	14381	21304
403	14412	21262
404	14445	21222
405	14478	21183
406	14512	21145
407	14547	21108
408	14579	21067
409	14622	21041
410	14657	21005
411	14690	20965
412	14725	20928
413	14765	20900
414	14802	20866
415	14834	20825
416	14871	20791
417	14913	20765
418	14951	20732
419	14986	20695
420	15018	20654
421	15053	20618
422	15085	20578
423	15117	20537
424	15151	20498
425	15192	20471
426	15226	20433
427	15262	20397
428	15294	20357
429	15328	20319
430	15361	20279
431	15396	20243
432	15428	20202
433	15464	20167
434	15506	20140
435	15538	20100
436	15571	20061
437	15607	20025
438	15639	19985
439	15671	19945
440	15706	19909
441	15740	19871
442	15791	19854
443	15827	19819
444	15861	19782
445	15891	19740
446	15930	19708
447	15969	19676
448	16001	19636
449	16037	19601
450	16083	19577
451	16118	19541
452	16152	19503
453	16184	19464
454	16219	19427
455	16256	19393
456	16290	19355
457	16322	19316
458	16360	19282
459	16398	19250
460	16433	19214
461	16470	19179
462	16503	19141
463	16536	19102
464	16572	19066
465	16605	19028
466	16638	18989
467	16676	18957
468	16715	18925
469	16761	18901
470	16797	18866
471	16827	18824
472	16861	18786
473	16893	18746
474	16928	18710
475	16970	18682
476	17007	18647
477	17040	18609
478	17072	18569
479	17104	18530
480	17140	18494
481	17180	18464
482	17213	18424
483	17248	18389
484	17288	18357
485	17321	18319
486	17357	18284
487	17394	18250
488	17427	18211
489	17464	18177
490	17499	18140
491	17532	18102
492	17572	18071
493	17604	18031
494	17635	17991
495	17672	17957
496	17707	17920
497	17749	17892
498	17783	17854
499	17816	17816
500	17856	17784
501	17896	17753
502	17929	17715
503	17963	17678
504	17997	17641
505	18031	17603
506	18063	17565
507	18094	17525
508	18132	17491
509	18167	17455
510	18201	17418
511	18236	17381
512	18268	17343
513	18302	17305
514	18336	17268
515	18368	17229
516	18399	17189
517	18442	17161
518	18478	17125
519	18510	17086
520	18549	17053
521	18584	17017
522	18617	16979
523	18651	16942
524	18683	16903
525	18730	16878
526	18771	16847
527	18806	16811
528	18837	16771
529	18868	16732
530	18901	16694
531	18933	16656
532	18966	16618
533	19001	16582
534	19045	16553
535	19079	16516
536	19112	16478
537	19143	16439
538	19177	16401
539	19213	16367
540	19247	16330
541	19279	16291
542	19316	16257
543	19352	16222
544	19386	16185
545	19423	16150
546	19458	16114
547	19490	16075
548	19522	16037
549	19554	15999
550	19589	15963
551	19634	15935
552	19673	15902
553	19716	15872
554	19748	15834
555	19783	15798
556	19817	15761
557	19862	15733
558	19895	15695
559	19938	15665
560	19970	15627
561	20002	15588
562	20035	15551
563	20067	15513
564	20107	15481
565	20139	15442
566	20173	15405
567	20214	15374
568	20250	15339
569	20283	15301
570	20318	15265
571	20353	15229
572	20385	15191
573	20418	15154
574	20450	15115
575	20483	15077
576	20529	15050
577	20563	15013
578	20595	14975
579	20630	14939
580	20663	14901
581	20706	14871
582	20740	14834
583	20772	14796
584	20812	14764
585	20854	14733
586	20892	14699
587	20925	14661
588	20957	14624
589	20990	14586
590	21023	14549
591	21064	14517
592	21108	14487
593	21147	14454
594	21181	14417
595	21215	14380
596	21247	14342
597	21281	14306
598	21316	14270
599	21350	14233
600	21391	14201
601	21427	14166
602	21460	14129
603	21495	14092
604	21529	14056
605	21563	14019
606	21593	13980
607	21626	13943
608	21660	13906
609	21710	13880
610	21746	13845
611	21778	13807
612	21811	13770
613	21845	13733
614	21880	13697
615	21910	13658
616	21947	13623
617	21988	13591
618	22023	13555
619	22056	13518
620	22087	13480
621	22120	13443
622	22155	13407
623	22192	13372
624	22225	13335
625	22258	13298
626	22298	13265
627	22334	13229
628	22364	13191
629	22403	13157
630	22437	13121
631	22469	13083
632	22503	13047
633	22535	13009
634	22572	12974
635	22611	12941
636	22650	12907
637	22686	12872
638	22721	12836
639	22756	12800
640	22788	12763
641	22824	12727
642	22861	12693
643	22899	12658
644	22933	12622
645	22967	12585
646	23000	12548
647	23036	12513
